# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-1.370000000000000000e+02,1.882184615582743125e+14,1.882184615582742993e+02,1.592789865127982017e-06,1.592789865127982011e+03,-1.186385829222628558e+02,1.368175180406355227e-15
-1.360000000000000000e+02,1.882536615582743125e+14,1.882536615582743025e+02,1.592492042483851620e-06,1.592492042483851719e+03,-9.958089143182336045e+01,1.101313231047236597e-13
-1.350000000000000000e+02,1.882888615582743125e+14,1.882888615582743057e+02,1.592194331193701459e-06,1.592194331193701373e+03,-1.092648846846559252e+02,1.184435816121220092e-14
-1.340000000000000000e+02,1.883240615582743125e+14,1.883240615582743089e+02,1.591896731195091230e-06,1.591896731195091206e+03,-1.010936179875400853e+02,7.773886601566966255e-14
-1.330000000000000000e+02,1.883592615582743125e+14,1.883592615582743122e+02,1.591599242425627426e-06,1.591599242425627381e+03,-1.062142943510256856e+02,2.390950389423701471e-14
-1.320000000000000000e+02,1.883944615582743125e+14,1.883944615582743154e+02,1.591301864822963342e-06,1.591301864822963353e+03,-1.093566588710675234e+02,1.159669173656830043e-14
-1.310000000000000000e+02,1.884296615582743125e+14,1.884296615582743186e+02,1.591004598324798856e-06,1.591004598324798962e+03,-9.662630305407994058e+01,2.174551485245620123e-13
-1.300000000000000000e+02,1.884648615582743125e+14,1.884648615582743219e+02,1.590707442868880011e-06,1.590707442868879980e+03,-1.011697999485308372e+02,7.638709693782309619e-14
-1.290000000000000000e+02,1.885000615582743125e+14,1.885000615582742967e+02,1.590410398392999650e-06,1.590410398392999696e+03,-9.870477828397783071e+01,1.347479515113680407e-13
-1.280000000000000000e+02,1.885352615582743125e+14,1.885352615582742999e+02,1.590113464834996988e-06,1.590113464834996876e+03,-1.031328106197981924e+02,4.860925198042698163e-14
-1.270000000000000000e+02,1.885704615582743125e+14,1.885704615582743031e+02,1.589816642132758041e-06,1.589816642132758034e+03,-9.942006881891541070e+01,1.142860224722166640e-13
-1.260000000000000000e+02,1.886056615582743125e+14,1.886056615582743063e+02,1.589519930224214564e-06,1.589519930224214477e+03,-9.512479290673341836e+01,3.072703883618331732e-13
-1.250000000000000000e+02,1.886408615582743125e+14,1.886408615582743096e+02,1.589223329047344898e-06,1.589223329047344805e+03,-9.402162585264242978e+01,3.961297088378221078e-13
-1.240000000000000000e+02,1.886760615582743125e+14,1.886760615582743128e+02,1.588926838540173761e-06,1.588926838540173776e+03,-9.834085721176286654e+01,1.465258599225731844e-13
-1.230000000000000000e+02,1.887112615582743125e+14,1.887112615582743160e+02,1.588630458640772033e-06,1.588630458640772076e+03,-9.984238515830398342e+01,1.036958758547169767e-13
-1.220000000000000000e+02,1.887464615582743125e+14,1.887464615582743193e+02,1.588334189287256756e-06,1.588334189287256777e+03,-9.317816537776121777e+01,4.810425158749061630e-13
-1.210000000000000000e+02,1.887816615582743125e+14,1.887816615582743225e+02,1.588038030417791350e-06,1.588038030417791333e+03,-9.553415466902329456e+01,2.796304960414992359e-13
-1.200000000000000000e+02,1.888168615582743125e+14,1.888168615582742973e+02,1.587741981970584973e-06,1.587741981970584902e+03,-8.872670768912482231e+01,1.340692658050792524e-12
-1.190000000000000000e+02,1.888520615582743125e+14,1.888520615582743005e+02,1.587446043883893157e-06,1.587446043883893253e+03,-1.027267637345741633e+02,5.337324728476001803e-14
-1.180000000000000000e+02,1.888872615582743125e+14,1.888872615582743038e+02,1.587150216096017177e-06,1.587150216096017175e+03,-9.617812806142049453e+01,2.410944393606095752e-13
-1.170000000000000000e+02,1.889224615582743125e+14,1.889224615582743070e+02,1.586854498545304680e-06,1.586854498545304750e+03,-8.877902448939414626e+01,1.324639041695931968e-12
-1.160000000000000000e+02,1.889576615582743125e+14,1.889576615582743102e+02,1.586558891170149055e-06,1.586558891170149082e+03,-9.569228518011685480e+01,2.696320303456769642e-13
-1.150000000000000000e+02,1.889928615582743125e+14,1.889928615582743134e+02,1.586263393908989428e-06,1.586263393908989428e+03,-8.484320829281708143e+01,3.278530065759591033e-12
-1.140000000000000000e+02,1.890280615582743125e+14,1.890280615582743167e+02,1.585968006700311091e-06,1.585968006700310980e+03,-1.004824756450867085e+02,8.948545187424203237e-14
-1.130000000000000000e+02,1.890632615582743125e+14,1.890632615582743199e+02,1.585672729482644651e-06,1.585672729482644627e+03,-9.243509375773479064e+01,5.708087531248068923e-13
-1.120000000000000000e+02,1.890984615582743125e+14,1.890984615582742947e+02,1.585377562194567091e-06,1.585377562194567190e+03,-8.584443706213207292e+01,2.603492277386102186e-12
-1.110000000000000000e+02,1.891336615582743125e+14,1.891336615582742979e+02,1.585082504774700920e-06,1.585082504774700965e+03,-8.806395037904302114e+01,1.561726436899324920e-12
-1.100000000000000000e+02,1.891688615582743125e+14,1.891688615582743012e+02,1.584787557161713966e-06,1.584787557161713949e+03,-8.228298005215904709e+01,5.911558542480859041e-12
