# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
2.640766767479095556e+00,8.345828383499605263e-02
2.696361857320759725e+00,8.423255654429148698e-02
2.751956947162427003e+00,8.491525916611138147e-02
2.807552037004091172e+00,8.552657664578988683e-02
2.863147126845755341e+00,8.608036895236059749e-02
2.918742216687422619e+00,8.658479567857668702e-02
2.974337306529086788e+00,8.704323089214435760e-02
3.029932396370750958e+00,8.745534974052768251e-02
3.085527486212418680e+00,8.781829379875812081e-02
3.141122576054082849e+00,8.812783919752116557e-02
3.196717665895747018e+00,8.837950041845846205e-02
3.252312755737414296e+00,8.856951271363769362e-02
3.307907845579078465e+00,8.869564438923226157e-02
3.363502935420742634e+00,8.875780280323727900e-02
3.419098025262406804e+00,8.875841021034025502e-02
3.474693115104074082e+00,8.870254155693460540e-02
3.530288204945738251e+00,8.859783057211642610e-02
3.585883294787402420e+00,8.845416598892638649e-02
3.641478384629070142e+00,8.828321120462580274e-02
3.697073474470734311e+00,8.809779107667507769e-02
3.752668564312398480e+00,8.791119449703736766e-02
3.808263654154065758e+00,8.773644432140388638e-02
3.863858743995729927e+00,8.758558388654233418e-02
3.919453833837394097e+00,8.746902558326123678e-02
3.975048923679061375e+00,8.739499924538035591e-02
4.030644013520725544e+00,8.736913033423877872e-02
4.086239103362389713e+00,8.739416777853438456e-02
4.141834193204053882e+00,8.746987242292834919e-02
4.197429283045721604e+00,8.759306705388902881e-02
4.253024372887385773e+00,8.775784104818504239e-02
4.308619462729049943e+00,8.795589447314788867e-02
4.364214552570717665e+00,8.817700074905032714e-02
4.419809642412381834e+00,8.840956138351566129e-02
4.475404732254046003e+00,8.864122331556086032e-02
4.530999822095712837e+00,8.885952670800204012e-02
4.586594911937377006e+00,8.905255088659232154e-02
4.642190001779041175e+00,8.920952623430154771e-02
4.697785091620708897e+00,8.932138236039054158e-02
4.753380181462373066e+00,8.938120554192784117e-02
4.808975271304037236e+00,8.938458333829085722e-02
4.864570361145704958e+00,8.932981922785929174e-02
4.920165450987369127e+00,8.921800705297394662e-02
4.975760540829033296e+00,8.905296172576473990e-02
5.031355630670697465e+00,8.884101078643674709e-02
5.086950720512364299e+00,8.859065858996684195e-02
5.142545810354028468e+00,8.831214260271234850e-02
5.198140900195692637e+00,8.801690701612101264e-02
5.253735990037360359e+00,8.771702399724318200e-02
5.309331079879024529e+00,8.742459507345980152e-02
5.364926169720688698e+00,8.715116597710291513e-02
5.420521259562356420e+00,8.690718588214638163e-02
5.476116349404020589e+00,8.670153838786595624e-02
5.531711439245684758e+00,8.654116548039170187e-02
5.587306529087351592e+00,8.643079941057081605e-02
5.642901618929015761e+00,8.637280988583524721e-02
5.698496708770679930e+00,8.636716755114400013e-02
5.754091798612344100e+00,8.641151824656750913e-02
5.809686888454011822e+00,8.650135801116716483e-02
5.865281978295675991e+00,8.663029476291050912e-02
5.920877068137340160e+00,8.679038063299923667e-02
5.976472157979007882e+00,8.697249731010174567e-02
6.032067247820672051e+00,8.716677683978786562e-02
6.087662337662336220e+00,8.736304024512887845e-02
6.143257427504003054e+00,8.755123747277970825e-02
6.198852517345667223e+00,8.772187270722435481e-02
6.254447607187331393e+00,8.786640049925664719e-02
6.310042697028999115e+00,8.797757878979017843e-02
6.365637786870663284e+00,8.804976635538022678e-02
6.421232876712327453e+00,8.807915298446572505e-02
6.476827966553995175e+00,8.806391254759071696e-02
6.532423056395659344e+00,8.800427065940237548e-02
6.588018146237323514e+00,8.790248163306402240e-02
6.643613236078987683e+00,8.776271243940822475e-02
6.699208325920654516e+00,8.759083604172222814e-02
6.754803415762318686e+00,8.739414102324301326e-02
6.810398505603982855e+00,8.718097015468860567e-02
6.865993595445650577e+00,8.696030534833022740e-02
6.921588685287314746e+00,8.674132130768177906e-02
6.977183775128978915e+00,8.653293288804640715e-02
7.032778864970646637e+00,8.634336280840529398e-02
7.088373954812310807e+00,8.617975499449825882e-02
7.143969044653974976e+00,8.604785607666343150e-02
7.199564134495641810e+00,8.595178209025639005e-02
7.255159224337305979e+00,8.589388136888116698e-02
7.310754314178970148e+00,8.587469710770616327e-02
7.366349404020634317e+00,8.589302643102572632e-02
7.421944493862302039e+00,8.594606612856688088e-02
7.477539583703966208e+00,8.602963063168249380e-02
7.533134673545630378e+00,8.613842401064945864e-02
7.588729763387298100e+00,8.626634649732406457e-02
7.644324853228962269e+00,8.640681560110916037e-02
7.699919943070626438e+00,8.655308370449796285e-02
7.755515032912293272e+00,8.669853619766018649e-02
7.811110122753957441e+00,8.683695799754416467e-02
7.866705212595621610e+00,8.696275969637383418e-02
7.922300302437289332e+00,8.707115881654663159e-02
7.977895392278953501e+00,8.715831467632489948e-02
8.033490482120617671e+00,8.722141850727747892e-02
8.089085571962284504e+00,8.725874181883776226e-02
8.144680661803949562e+00,8.726964717443838615e-02
8.200275751645612843e+00,8.725456495751071628e-02
8.255870841487277900e+00,8.721493939740576629e-02
8.311465931328944734e+00,8.715314575034967259e-02
8.367061021170609791e+00,8.707238037614881132e-02
8.422656111012273072e+00,8.697652503427641402e-02
8.478251200853941683e+00,8.686998812088184141e-02
8.533846290695604964e+00,8.675752678533819873e-02
8.589441380537270021e+00,8.664405651765064165e-02
8.645036470378936855e+00,8.653445641361698359e-02
8.700631560220600136e+00,8.643338030680884632e-02
8.756226650062265193e+00,8.634508384735978259e-02
8.811821739903932027e+00,8.627327715550164866e-02
8.867416829745597084e+00,8.622100989042934260e-02
8.923011919587260365e+00,8.619059283215033118e-02
8.978607009428925423e+00,8.618355583735493042e-02
9.034202099270592257e+00,8.620063902832141023e-02
9.089797189112257314e+00,8.624181076683286318e-02
9.145392278953920595e+00,8.630630491335061771e-02
9.200987368795587429e+00,8.639266910508835995e-02
